"행정동","위도","경도"
"도화동",37.5370399026918,126.946806936149
"서강동",37.5459461395775,126.925157583817
"공덕동",37.5491192098263,126.95778535322
"아현동",37.5519258968623,126.952841241611
"목1동",37.527444379233,126.87509872142
"목2동",37.5435937356103,126.874098407563
"목3동",37.5452003086196,126.865412266733
"목4동",37.5354366015795,126.866895905532
"신월1동",37.5312655314095,126.834532234642
"신월2동",37.5233974423091,126.846330338171
"신월3동",37.532360520144,126.827467435577
"신월4동",37.5222490929613,126.839820740488
"신월5동",37.5400448034471,126.829898464547
"신월6동",37.5159738459494,126.842129909
"신월7동",37.5206628993533,126.832337416962
"신정1동",37.5188773236476,126.859634460954
"신정2동",37.5189528735653,126.875177087049
"신정3동",37.5117824165671,126.83939686274
"신정6동",37.5159107322479,126.869643768589
"신정7동",37.5101162435144,126.864683385365
"목5동",37.5363113078188,126.881027256432
"신정4동",37.525409273361,126.857570623463
"염창동",37.5532116401019,126.875431687781
"등촌1동",37.5558562949976,126.859633418708
"등촌2동",37.5457353384538,126.860025327575
"등촌3동",37.5610548519021,126.846338816642
"화곡본동",37.5425737398544,126.848161929677
"화곡2동",37.5322784124317,126.854368230931
"화곡3동",37.5440557436891,126.834272814951
"화곡4동",37.536098119829,126.858575733429
"화곡6동",37.551721871161,126.851165980837
"화곡8동",37.5342206149589,126.848633469074
"가양1동",37.5731004931785,126.834347555919
"가양2동",37.5686569491926,126.854007154767
"가양3동",37.5626822671425,126.862296718594
"발산1동",37.5504472067645,126.825576342639
"공항동",37.5564907677082,126.794957102465
"방화1동",37.568642725813,126.817550725592
"방화2동",37.5838028681156,126.804506165071
"방화3동",37.5815844044039,126.815533848421
"화곡1동",37.533780182154,126.840936214562
"우장산동",37.550571918016,126.841015050649
"신도림동",37.5097338626686,126.88284657761
"구로1동",37.4930320364751,126.875460543427
"구로3동",37.4848785036879,126.89498397881
"구로4동",37.4915356891575,126.890197008452
"구로5동",37.5020301604394,126.88848081702
"고척1동",37.5006587345099,126.863399066214
"고척2동",37.505854477902,126.853311377981
"개봉2동",37.4927299904511,126.856363960744
"개봉3동",37.4868357662504,126.852411120751
"오류1동",37.4969640056313,126.841634067727
"항동",37.4810286987654,126.824492738478
"수궁동",37.4982770810681,126.826069403367
"가리봉동",37.4825554601053,126.888256854915
"구로2동",37.4974545794588,126.87949456605
"개봉1동",37.4998848760817,126.849876406899
"가산동",37.4768350851274,126.884340971903
"독산1동",37.46419886988,126.89272005522
"독산2동",37.4638254562944,126.902553913223
"독산3동",37.4759330237917,126.904593801779
"독산4동",37.4692187740091,126.90405170858
"시흥1동",37.4528863098895,126.900146015335
"시흥2동",37.4505899348172,126.920073090376
"시흥3동",37.4402762460347,126.905925642762
"시흥4동",37.460077964088,126.909105417211
"시흥5동",37.4487497175328,126.912431221373
"여의동",37.5274889751916,126.92757162934
"당산1동",37.5239307170492,126.896851231231
"당산2동",37.5329827440936,126.903911787849
"양평1동",37.5250741259575,126.887073303919
"양평2동",37.5406002009916,126.894177979238
"신길1동",37.5123377973166,126.919510430941
"신길3동",37.506447127266,126.905886542856
"신길4동",37.5072845369465,126.912917914043
"신길5동",37.5011170637039,126.905554641218
"신길6동",37.4991562409581,126.913541064136
"신길7동",37.5057976687959,126.919802821395
"대림1동",37.4937685900381,126.905261614652
"대림2동",37.4896346200622,126.90064343372
"대림3동",37.4998681365491,126.897272217939
"영등포본동",37.5137225347206,126.909695668017
"영등포동",37.5215222407353,126.907842194022
"도림동",37.5092773068638,126.901235681269
"문래동",37.5163805183165,126.891471871572
"노량진2동",37.5109299046024,126.938002677653
"상도1동",37.4983283821831,126.95347059878
"상도2동",37.5036738351878,126.942060132063
"상도3동",37.4972275508912,126.933354520624
"상도4동",37.4974288624173,126.940763619438
"사당1동",37.4797168930496,126.977409082542
"사당3동",37.4888120015502,126.970862228835
"사당4동",37.4805908159976,126.970769958142
"사당5동",37.4858037956492,126.96504030049
"대방동",37.5071139137877,126.928026002667
"신대방1동",37.489948148245,126.910705374245
"신대방2동",37.4943096880798,126.921531757487
"흑석동",37.5062961680377,126.963762689718
"노량진1동",37.513025377466,126.949154771242
"사당2동",37.4982323904375,126.975191885989
"보라매동",37.4903578257577,126.932594621702
"청림동",37.4894146388881,126.959568566976
"행운동",37.4809036160284,126.960622426481
"낙성대동",37.4672301261643,126.960046226204
"중앙동",37.4841224667548,126.950618001745
"인헌동",37.4720777683068,126.966619043872
"남현동",37.4624710871797,126.976640013455
"서원동",37.4806016700019,126.933444736907
"신원동",37.4793003803689,126.92669884395
"서림동",37.4735485034946,126.939210141527
"신사동",37.4856255092821,126.918752941612
"신림동",37.4869003896313,126.927612942315
"난향동",37.4615887324456,126.918266328135
"조원동",37.4829384119626,126.907525111684
"대학동",37.4534746304054,126.948482262281
"은천동",37.4868212843001,126.942209038847
"성현동",37.4895146023392,126.951166475592
"청룡동",37.4780492553358,126.945884294534
"난곡동",37.4704952842949,126.921048515086
"삼성동",37.4606684294061,126.930137457753
"미성동",37.4759383292618,126.915426129193
"서초1동",37.4869552448383,127.020138800438
"서초2동",37.488816790995,127.027910466745
"서초3동",37.4854308312747,127.009592323347
"서초4동",37.4989852253178,127.019964008813
"잠원동",37.517638246344,127.01303891125
"반포본동",37.5062892900976,126.98647601528
"반포1동",37.5055059137886,127.016630953192
"반포2동",37.5063792223261,126.995695155907
"반포3동",37.5124082316877,127.00359224663
"반포4동",37.4995808275013,127.003288700624
"방배본동",37.4949488565554,126.987765621129
"방배1동",37.4849125069863,126.996302799791
"방배2동",37.4730146301789,126.988485810099
"방배3동",37.4743198740476,126.997899965084
"방배4동",37.489818856043,126.990986904588
"양재1동",37.4695574215645,127.022529575466
"양재2동",37.4511455432833,127.045906874067
"내곡동",37.4565209973106,127.070547946949
"신사동",37.5257176218959,127.021395206432
"논현1동",37.5119094309517,127.026496023561
"논현2동",37.5152057135073,127.036218317679
"삼성1동",37.5153969038726,127.060628000687
"삼성2동",37.5118392753572,127.048760414403
"대치1동",37.4933911676998,127.058965422852
"대치4동",37.501660552257,127.054899029968
"역삼1동",37.5008888793296,127.035490697313
"역삼2동",37.4985020798086,127.04489099995
"도곡1동",37.4890453421839,127.040975705065
"도곡2동",37.4882109777229,127.049653453396
"개포1동",37.4792839642028,127.064709696692
"개포4동",37.4755522409205,127.053236814105
"일원본동",37.4823696433,127.084674325401
"일원1동",37.4933858669415,127.0892459488
"일원2동",37.4954735290118,127.079316529285
"수서동",37.4868367730653,127.100569278023
"세곡동",37.4710745369882,127.104347682266
"압구정동",37.5302665813314,127.033483609482
"청담동",37.5245379664718,127.050503287157
"대치2동",37.5005751316417,127.066415642137
"개포2동",37.4864768562466,127.067634832479
"풍납1동",37.5382393668279,127.114299688413
"풍납2동",37.5298504953683,127.110127134989
"거여1동",37.4943859754458,127.141676255779
"거여2동",37.4923751139963,127.147174609196
"마천1동",37.4947834805966,127.155724566299
"마천2동",37.5003285053132,127.15145766318
"방이1동",37.5097718457493,127.122315009406
"방이2동",37.5132546473961,127.113826312565
"오륜동",37.5176586867628,127.128507790093
"오금동",37.5039895932223,127.134398685626
"송파1동",37.5071676764437,127.110320664627
"송파2동",37.5028356223828,127.116831148434
"석촌동",37.502723641612,127.102462239504
"삼전동",37.5017201972247,127.091905850386
"가락본동",37.4972167146674,127.12163941811
"가락1동",37.4953291516899,127.108235045606
"가락2동",37.4958596390957,127.130643071282
"문정1동",37.488173016884,127.126859248163
"문정2동",37.4806935230858,127.119136555485
"잠실본동",37.505506952098,127.08229375265
"잠실4동",37.5212546173562,127.108152404363
"잠실6동",37.519065075346,127.099981993991
"잠실7동",37.50748105093,127.074097607505
"잠실2동",37.5177194816196,127.078819479851
"잠실3동",37.5136381047928,127.09431951437
"장지동",37.4827887857247,127.131628833572
"위례동",37.4816607966441,127.141242124291
"강일동",37.5638939772393,127.174019246406
"상일동",37.5507445492374,127.164842328472
"명일1동",37.550371329679,127.145940598337
"명일2동",37.5482885833736,127.154204773143
"고덕1동",37.5633469190868,127.150307307597
"고덕2동",37.5658648034013,127.161639531582
"암사2동",37.557380409415,127.123241947704
"암사3동",37.5615049232655,127.138509012029
"천호1동",37.546318478654,127.138581574535
"천호3동",37.5396538731929,127.133195862094
"성내1동",37.528764114809,127.125518897804
"성내2동",37.5343645365106,127.127736876024
"성내3동",37.5284034526414,127.133796559375
"둔촌1동",37.5231451446586,127.140434722076
"둔촌2동",37.5315144311926,127.147413644704
"암사1동",37.5518551127118,127.134585664404
"천호2동",37.5446910545994,127.122275119286
"길동",37.5397251077209,127.145906564229
"오류2동",37.4852648901828,126.838372356422
