"동별(1)",동별(2),동별(3),2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",송파구,가락2동,12383,31079,15147,15932,30889,15060,15829,190,87,103,2.49,5024
"합계",송파구,문정1동,8947,19937,9754,10183,19755,9666,10089,182,88,94,2.21,3538
"합계",송파구,문정2동,15921,28997,13281,15716,28814,13205,15609,183,76,107,1.81,4495
"합계",송파구,장지동,12359,29076,13966,15110,28892,13885,15007,184,81,103,2.34,5196
"합계",송파구,잠실본동,16281,28235,13360,14875,27691,13127,14564,544,233,311,1.70,4282
"합계",송파구,잠실2동,11552,34975,16748,18227,34872,16684,18188,103,64,39,3.02,4096
"합계",송파구,잠실3동,11882,33941,16009,17932,33812,15940,17872,129,69,60,2.85,6506
"합계",송파구,잠실4동,7228,21173,10213,10960,21114,10186,10928,59,27,32,2.92,3229
"합계",송파구,잠실6동,5852,16680,7892,8788,16468,7774,8694,212,118,94,2.81,3272
"합계",송파구,잠실7동,3361,9405,4373,5032,9389,4362,5027,16,11,5,2.79,2365
"합계",송파구,위례동,14892,45225,21981,23244,45083,21944,23139,142,37,105,3.03,4084
"합계",강동구,소계,207384,469464,228909,240555,465090,227021,238069,4374,1888,2486,2.24,87016
"합계",강동구,명일1동,10028,25139,12249,12890,25032,12209,12823,107,40,67,2.50,4737
"합계",강동구,명일2동,6415,16915,8215,8700,16851,8197,8654,64,18,46,2.63,3043
"합계",강동구,고덕1동,8180,23970,12258,11712,23890,12218,11672,80,40,40,2.92,3372
"합계",강동구,고덕2동,9764,25607,12868,12739,25367,12726,12641,240,142,98,2.60,3615
"합계",강동구,암사1동,15982,33640,16565,17075,33342,16449,16893,298,116,182,2.09,7033
"합계",강동구,암사2동,6386,14722,7080,7642,14652,7057,7595,70,23,47,2.29,2747
"합계",강동구,암사3동,6082,17180,8406,8774,17136,8386,8750,44,20,24,2.82,3093
"합계",강동구,천호1동,12899,25931,12657,13274,25646,12537,13109,285,120,165,1.99,5947
"합계",강동구,천호2동,17480,33094,16043,17051,32462,15763,16699,632,280,352,1.86,6640
"합계",강동구,천호3동,14893,26893,12924,13969,26349,12642,13707,544,282,262,1.77,5224
"합계",강동구,성내1동,8233,19456,9326,10130,19302,9270,10032,154,56,98,2.34,3507
"합계",강동구,성내2동,13822,24546,11934,12612,23975,11666,12309,571,268,303,1.73,4987
"합계",강동구,성내3동,10634,22478,10934,11544,22114,10780,11334,364,154,210,2.08,4482
"합계",강동구,둔촌1동,32,60,32,28,51,28,23,9,4,5,1.59,10
"합계",강동구,둔촌2동,10427,24123,11794,12329,23993,11747,12246,130,47,83,2.30,4755
