"동별(1)",동별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
"동별(1)",동별(2),인원,인원,인원,인원,인원,인원,인원,인원,인원,인원
"동별(1)",동별(2),남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
"중랑구",상봉2동,578,522,484,455,85,59,9,8,-,-
"중랑구",중화1동,518,590,426,508,88,80,4,2,-,-
"중랑구",중화2동,1299,1270,1079,1075,212,187,8,8,-,-
"중랑구",묵1동,530,714,441,630,86,82,3,2,-,-
"중랑구",묵2동,521,610,447,534,71,70,3,6,-,-
"중랑구",망우3동,975,1005,805,854,150,135,20,16,-,-
"중랑구",신내1동,1005,1278,920,1174,80,98,5,6,-,-
"중랑구",신내2동,651,795,587,712,60,79,4,4,-,-
"중랑구",면목본동,1278,1373,1124,1242,142,124,12,7,-,-
"중랑구",면목3.8동,922,1057,787,921,124,123,11,13,-,-
"중랑구",망우본동,1303,1473,1132,1300,166,165,5,8,-,-
"중랑구",기타,125,432,2,4,-,-,-,-,123,428
"성북구",소계,7766,9454,5714,7101,1824,1971,115,107,113,275
"성북구",돈암1동,253,376,193,316,53,59,7,1,-,-
"성북구",돈암2동,163,204,129,177,28,25,6,2,-,-
"성북구",안암동,213,245,164,184,45,55,4,6,-,-
"성북구",보문동,231,296,174,225,54,66,3,5,-,-
"성북구",정릉1동,208,245,161,198,47,46,-,1,-,-
"성북구",정릉2동,382,428,278,317,102,107,2,4,-,-
"성북구",정릉3동,360,424,295,347,60,75,5,2,-,-
"성북구",정릉4동,380,494,297,404,80,88,3,2,-,-
"성북구",길음1동,240,402,199,339,35,55,6,8,-,-
"성북구",길음2동,248,325,187,270,58,51,3,4,-,-
"성북구",월곡1동,475,543,326,412,140,123,9,8,-,-
"성북구",월곡2동,367,413,288,349,73,60,6,4,-,-
"성북구",장위1동,866,1154,575,789,277,358,14,7,-,-
"성북구",장위2동,537,616,377,428,149,175,11,13,-,-
"성북구",장위3동,237,320,183,255,52,58,2,7,-,-
"성북구",성북동,210,252,166,189,44,58,-,5,-,-
"성북구",삼선동,460,466,352,371,100,85,8,10,-,-
"성북구",동선동,225,242,181,180,43,57,1,5,-,-
"성북구",종암동,674,764,495,594,168,163,11,7,-,-
"성북구",석관동,916,966,686,753,216,207,14,6,-,-
"성북구",기타,121,279,8,4,-,-,-,-,113,275
"강북구",소계,10388,12458,8196,10124,1916,1917,187,262,89,155
"강북구",번1동,641,635,515,537,116,87,10,11,-,-
"강북구",번2동,855,1082,636,870,194,183,25,29,-,-
"강북구",번3동,1248,1646,1035,1392,188,223,25,31,-,-
"강북구",수유1동,712,861,570,709,133,139,9,13,-,-
"강북구",수유2동,545,888,435,756,102,119,8,13,-,-
"강북구",수유3동,904,884,724,737,171,134,9,13,-,-
"강북구",삼양동,864,924,661,697,189,197,14,30,-,-
"강북구",미아동,711,659,565,541,130,100,16,18,-,-
"강북구",송중동,737,841,602,689,118,120,17,32,-,-
"강북구",송천동,951,981,778,823,157,145,16,13,-,-
"강북구",삼각산동,504,878,407,744,86,116,11,18,-,-
"강북구",우이동,572,731,446,594,121,125,5,12,-,-
"강북구",인수동,1053,1291,820,1033,211,229,22,29,-,-
"강북구",기타,91,157,2,2,-,-,-,-,89,155
"도봉구",소계,7399,8776,5903,6992,1359,1512,59,58,78,214
"도봉구",쌍문1동,550,715,431,572,115,140,4,3,-,-
"도봉구",쌍문2동,509,637,411,521,94,112,4,4,-,-
"도봉구",쌍문3동,471,514,382,423,83,89,6,2,-,-
"도봉구",쌍문4동,145,238,130,209,15,28,-,1,-,-
"도봉구",방학1동,929,978,750,798,177,175,2,5,-,-
"도봉구",방학2동,1237,1426,968,1118,257,300,12,8,-,-
