"자치구","행정동명","폭염취약성지수"
"강남구","개포4동",-0.0309294415753091
"용산구","한남동",-0.031261953640932
"강남구","논현1동",-0.0354953591014073
"강남구","역삼1동",-0.0375518527033444
"강남구","논현2동",-0.0375554021620373
"강남구","신사동(강남)",-0.0380202678367786
"강남구","개포1동",-0.0385879747258419
"종로구","창신1동",-0.0387610590458718
"강남구","삼성2동",-0.0429709477451292
"강남구","대치2동",-0.0439723951641253
"용산구","한강로동",-0.0486702184913499
"강남구","일원본동",-0.0490697643115506
"강남구","역삼2동",-0.0491565723702388
"용산구","효창동",-0.0501403162564845
"강남구","개포2동",-0.0521387618191885
"용산구","원효로1동",-0.0545029984448443
"서초구","내곡동",-0.0552310612242963
"서초구","양재1동",-0.0582463057503792
"강남구","대치1동",-0.0600040395583013
"서초구","방배2동",-0.0649545195463589
"서초구","방배1동",-0.070989524911286
"강남구","대치4동",-0.0732298241884193
"강남구","청담동",-0.075753259878352
"종로구","이화동",-0.0794155972557639
"강남구","도곡2동",-0.0801396825902569
"강남구","삼성1동",-0.0809038120601871
"강남구","도곡1동",-0.081529819598831
"서초구","양재2동",-0.0836153803025605
"서초구","서초3동",-0.0845374934659843
"종로구","삼청동",-0.0860259594217793
"종로구","숭인1동",-0.0867644332243304
"서초구","반포4동",-0.0883272253340889
"서초구","서초4동",-0.0901405048194474
"서초구","잠원동",-0.091108647464845
"서초구","반포1동",-0.0917265752925457
"서초구","반포3동",-0.093013423665579
"서초구","반포2동",-0.094848251382555
"서초구","서초2동",-0.0953637739609678
"종로구","창신2동",-0.0977228745735875
"서초구","서초1동",-0.0993340794783715
"서초구","방배본동",-0.102687877186926
"종로구","청운효자동",-0.106991905469389
"종로구","숭인2동",-0.109928887245092
"종로구","창신3동",-0.112457752672698
"서초구","방배4동",-0.113130024174492
"서초구","방배3동",-0.114286317080233
"종로구","교남동",-0.115273369671801
"종로구","무악동",-0.118245971177774
"종로구","평창동",-0.118580273985079
"종로구","부암동",-0.12079751507271
"중구","약수동",-0.126639739918008
"종로구","혜화동",-0.134712963001344
"종로구","사직동",-0.137103791787188
"종로구","가회동",-0.140467581433959
"중구","신당5동",-0.178736119131803
"중구","신당동",-0.181219319386898
"중구","을지로동",-0.18149627894799
"중구","청구동",-0.184256136677275
"중구","회현동",-0.185556344761751
"중구","동화동",-0.188659900544393
"중구","다산동",-0.192022890321941
"중구","명동",-0.195311038875777
"중구","중림동",-0.208191669357326
"중구","광희동",-0.21620097444336
"중구","장충동",-0.219990459330712
"중구","황학동",-0.220942945209012
"중구","필동",-0.230670830701585
"중구","소공동",-0.243967968857689
