"행정동명","자치구","폭염취약성지수","노인대비쉼터수","scaled_취약성지수","scaled_역비례_쉼터개수","우선순위지수"
"신길4동","영등포구",0.205802831668548,0.00148754183711417,0.745314754297865,0.816191569518327,0.761888808583054
"상봉2동","중랑구",0.191171113563896,0.000887049083382614,0.721068548516242,0.89039158717507,0.760663573006767
"잠실6동","송파구",0.184642911799918,0.000611246943765281,0.710250671748712,0.924471138513873,0.760344650070403
"인수동","강북구",0.190447278861328,0.000907441016333938,0.719869082737527,0.887871853546911,0.759155371699521
"가락2동","송파구",0.178357258132645,0.000398089171974522,0.699834721195356,0.950810024923844,0.758523564582282
"가락1동","송파구",0.167842545017579,0,0.682410800361235,1,0.756676843761038
"위례동","송파구",0.178554032099075,0.000489715964740451,0.700160795142954,0.939488140356854,0.756125843786395
"하계2동","노원구",0.190188751746029,0.00107758620689655,0.719440677707247,0.866847826086957,0.753910822445987
"면목5동","중랑구",0.191270284739527,0.0011290929619872,0.721232884974528,0.86048338269706,0.753795653226939
"방이1동","송파구",0.174084048881184,0.000383435582822086,0.692753590318052,0.952620698853027,0.753521720917554
"미아동","강북구",0.187143653276864,0.000994629003381739,0.714394648007891,0.877098450973439,0.752441809895312
"염창동","강서구",0.179521218527747,0.000777151738877016,0.701763518829335,0.903971076439631,0.749048361217978
"상계1동","노원구",0.177373831862399,0.000724462690171456,0.698205086483362,0.910481610197075,0.747844487133049
"상계8동","노원구",0.165047379105055,0.000299670362601139,0.6777789336574,0.962971166499459,0.744469169867026
"가락본동","송파구",0.193796992619618,0.00158299412030755,0.725419890134999,0.804396987395041,0.743888139494159
"상계10동","노원구",0.164342007039031,0.000317057704502219,0.676610062295671,0.960822695817595,0.743071225962193
"대림1동","영등포구",0.176121432730596,0.000846979107848673,0.696129737105167,0.895342842412786,0.742714347480498
"개봉3동","구로구",0.169244430253054,0.000613120784794605,0.684733863015835,0.924239596939727,0.740740626628468
"장지동","송파구",0.203013703103896,0.00211701308698999,0.740692892077293,0.738410817685846,0.740159244724078
"가양1동","강서구",0.183435856705663,0.00133226751931788,0.708250461930854,0.835378074352112,0.737978377087066
"개봉2동","구로구",0.162148731031608,0.000406724511930586,0.672975586765763,0.949742997264925,0.737695736390376
"신길3동","영등포구",0.176944346887826,0.00112803158488438,0.69749338735144,0.860614531989504,0.735638141709886
"공릉2동","노원구",0.168941132924835,0.000920669019487494,0.684231269309449,0.886237332461589,0.731468993609092
"잠실2동","송파구",0.153479888713329,0.000244140625,0.658610456626288,0.969832710597826,0.73138763370512
"중계1동","노원구",0.171315947155209,0.00104638995465644,0.688166571651316,0.8707025977768,0.730851362109184
"도림동","영등포구",0.171330087911695,0.00107181136120043,0.688190004285079,0.867561396150799,0.730134766852995
"우이동","강북구",0.1628908711967,0.000750609870519797,0.674205386508549,0.907250728173162,0.728701431959314
"송중동","강북구",0.16779641203015,0.00105708245243129,0.682334353432821,0.869381376964795,0.726074009514419
"고척2동","구로구",0.166308539274887,0.00100050025012506,0.679868800943158,0.876372969093243,0.7258199450522
"신길5동","영등포구",0.193203346284774,0.00218435998252512,0.724436159373295,0.730089083898418,0.725758056775965
"등촌1동","강서구",0.162896734881275,0.000886524822695035,0.674215103214532,0.8904563675609,0.72478163110982
"삼양동","강북구",0.182671778605896,0.001822821728035,0.706984308857942,0.774762636909762,0.722833803294113
"삼각산동","강북구",0.13877037366383,0.000196078431372549,0.634235333603338,0.975771526001705,0.714101216058128
"신길6동","영등포구",0.157733609447181,0.00110987791342952,0.665659293100095,0.862857694349274,0.711772778830092
"대림3동","영등포구",0.15322885681831,0.00112866817155756,0.658194471918215,0.860535872018844,0.705510612449891
"영등포본동","영등포구",0.154811302811342,0.00126582278481013,0.660816741627823,0.84358833241607,0.703556617257001
"성내2동","강동구",0.157894360808548,0.00140364948867054,0.665925674024024,0.826557745791232,0.703488375862854
"제기동","동대문구",0.129179828937199,0.000171291538198013,0.618342851303134,0.978834323845272,0.702641295253762
"길동","강동구",0.131618503291177,0.000308800823468863,0.622383976193458,0.961842959117456,0.701764117542602
"오류2동","구로구",0.151741487893425,0.00124968757810547,0.655729754325378,0.845582082740185,0.700125411601019
"천호1동","강동구",0.157280943730975,0.00151336808474861,0.664909181183852,0.813000343614976,0.699539277889743
"신길1동","영등포구",0.162273743571217,0.00178480367159612,0.673182744923059,0.779460346318427,0.698035028837729
"수궁동","구로구",0.173484098591294,0.00228527899447724,0.691759413278597,0.717619004247638,0.697806500230522
"오류1동","구로구",0.175858236278082,0.00241598945750055,0.695693594520748,0.701467737468845,0.697043838015388
"신도림동","구로구",0.141594226399416,0.000917936478795667,0.638914737213652,0.886574979446205,0.696828376339192
"구로4동","구로구",0.154710640958823,0.00153256704980843,0.660649934970322,0.810628019323671,0.695721275350518
"휘경2동","동대문구",0.132840277895106,0.000680426400544341,0.624408577696422,0.915922963897956,0.692577205854857
"답십리1동","동대문구",0.136942773908318,0.000883977900552486,0.631206819833345,0.890771078549123,0.691904131091882
"답십리2동","동대문구",0.1385049182143,0.000972132209980557,0.63379544763717,0.879878272140663,0.691340218508817
"영등포동","영등포구",0.140520479903472,0.00106923282544774,0.637135432943863,0.867880013481631,0.691093461277254
"암사1동","강동구",0.160435334868565,0.00213280250248827,0.670136319657317,0.736459795127319,0.685645606853744
"개봉1동","구로구",0.141927854829181,0.00135777325186694,0.639467592558788,0.832226452964963,0.684542922289473
"구로5동","구로구",0.135630542123485,0.00108381502890173,0.629032321824247,0.866078160341795,0.684463855866056
"시흥5동","금천구",0.123827645866749,0.000616142945163278,0.609473753964128,0.923866163036781,0.682992249943575
"대림2동","영등포구",0.162287922033996,0.00233918128654971,0.673206240039884,0.710958555809814,0.682034358642789
"당산1동","영등포구",0.144939410347125,0.0016116035455278,0.644458038266435,0.800861857548261,0.681031992430779
"중곡4동","광진구",0.12341817922522,0.000672834314550042,0.608795227192343,0.916861081654295,0.680834302020743
"장위2동","성북구",0.133788180875729,0.00119083060434653,0.625979346799873,0.852854757497703,0.67903259645823
"장위1동","성북구",0.135315503440686,0.00131665569453588,0.628510271530653,0.837307152875175,0.677335981817128
"수서동","강남구",0.135739226548347,0.00133638793432608,0.629212422678543,0.834868934375882,0.677303779187325
"구로2동","구로구",0.156953671923154,0.00229427959620679,0.664366859390731,0.716506842938274,0.676559434847992
"구로1동","구로구",0.125087701883448,0.00091547146780592,0.611561791558807,0.886879569065025,0.675942954508526
"가리봉동","구로구",0.132819275902606,0.00127768313458262,0.624373775315161,0.842122805718095,0.675292883901231
"고척1동","구로구",0.144051775030621,0.00178677784395473,0.642987138650336,0.779216407281768,0.674843413322186
"당산2동","영등포구",0.120008743625848,0.000773694390715667,0.603145454790339,0.904398284416786,0.673591350761609
"중곡3동","광진구",0.129019426716918,0.00123762376237624,0.618077048940558,0.847072750753336,0.671626114049006
"홍제3동","서대문구",0.111622657281373,0.00047812574707148,0.589248879298911,0.940920288122733,0.671484812195515
"여의동","영등포구",0.111999973361839,0.000589101620029455,0.589874129407357,0.927207530255491,0.6687572180517
"천호2동","강동구",0.142297276228686,0.00210843373493976,0.640079760399125,0.739470927187009,0.663321699087915
"중곡2동","광진구",0.117939133056118,0.00105485232067511,0.599715905136458,0.869656943680058,0.662839754771992
"문래동","영등포구",0.115891588168162,0.00098173964264677,0.596322920502295,0.87869112763469,0.662352777781672
"구의2동","광진구",0.110379286660933,0.00080742834073476,0.587188491058077,0.900229941549209,0.660391074693022
"중곡1동","광진구",0.115705937151188,0.00106307583274274,0.596015278383377,0.868640803623701,0.659766876713615
"휘경1동","동대문구",0.119370179568468,0.00134831460674157,0.602087290914488,0.833395212506107,0.65617705266703
"용신동","동대문구",0.0980871156878438,0.00043757292882147,0.566819146543324,0.945931205925625,0.655471886269672
"회기동","동대문구",0.115681078636195,0.00127388535031847,0.59597408536246,0.8425920797563,0.653644002021017
"월곡1동","성북구",0.111156434349858,0.0011263375258119,0.588476301734419,0.860823858767069,0.652162899116896
"전농1동","동대문구",0.110356225025958,0.00109238451935081,0.587150275645283,0.865019269391522,0.652128022912791
"성내3동","강동구",0.14539597186046,0.00267737617135207,0.645214605904296,0.669169431348583,0.650816276578562
"신월7동","양천구",0.102677746565023,0.000828672053035011,0.574426276486606,0.89760495762063,0.649999381574217
"중계본동","노원구",0.149293267040239,0.00288600288600289,0.65167280994054,0.643390425999121,0.649736031593081
"장안2동","동대문구",0.0980815182134522,0.000671140939597315,0.566809870973976,0.917070323898454,0.648715861567206
"신월3동","양천구",0.0955569306888687,0.00058411214953271,0.562626379452546,0.927824055262089,0.648025336570823
"신길7동","영등포구",0.112258528198692,0.00137741046831956,0.590302580374997,0.829799976045035,0.646307394144489
"양평1동","영등포구",0.116400239639657,0.00156372165754496,0.597165806358951,0.806778393445966,0.646182263806042
"천호3동","강동구",0.140908503752284,0.00267993874425727,0.637778426884779,0.668852786470471,0.645044951502861
"장안1동","동대문구",0.0947489494374591,0.000674399784192069,0.561287474509924,0.916667644057658,0.644390675516385
"신정7동","양천구",0.0950538360078622,0.000689536286847095,0.561792701747981,0.914797298816546,0.644340391518424
"상도3동","동작구",0.0927513727743466,0.0005941770647653,0.557977292172349,0.926580381823349,0.644172581824703
"이문2동","동대문구",0.110178309239159,0.00136798905608755,0.586855451568734,0.830964134895617,0.643938583145134
"고덕2동","강동구",0.116700916661742,0.0016597510373444,0.597664057958602,0.794912502255096,0.643789245909984
"전농2동","동대문구",0.108771722515484,0.0014695077149155,0.584524598082629,0.818419959748267,0.639219414846646
"성내1동","강동구",0.126682613675264,0.00228115198175078,0.614204718331406,0.71812895947236,0.638506685185583
"자양4동","광진구",0.100759494181361,0.00114442664225223,0.571247542335039,0.858588673161703,0.638440283513876
"암사2동","강동구",0.123756538755892,0.00218420094648708,0.609355922440172,0.730108735221031,0.637593134677968
"북가좌1동","서대문구",0.0802818837722114,0.000300210147102972,0.537314114124836,0.962904467910146,0.63683548235999
"명일1동","강동구",0.130915004591426,0.00253324889170361,0.62121820918515,0.686978549990363,0.636595811225083
"구로3동","구로구",0.118621444484567,0.00202839756592292,0.600846562738183,0.749360613810742,0.635575549035515
"자양1동","광진구",0.0988668444005008,0.00124750499001996,0.568111234231571,0.845851774711447,0.633058943588894
"신대방1동","동작구",0.0799387673461601,0.000440431622990531,0.53674553623032,0.94557797075917,0.632348180654317
"북가좌2동","서대문구",0.0892481644164066,0.000852030673104232,0.552172129023702,0.894718644653816,0.632274268596374
"신월1동","양천구",0.0741189163583002,0.000204876049989756,0.527101466842107,0.974684446344744,0.631765658881901
"신정4동","양천구",0.0777194384290876,0.000444378610576211,0.533067888449275,0.945090260380105,0.629416477728474
"공덕동","마포구",0.0921075668156714,0.00107858243451464,0.556910441946981,0.866724727004756,0.629358375208409
"양평2동","영등포구",0.106137075099923,0.00170415814587594,0.580158726423347,0.789425328235677,0.629094277600783
"돈암1동","성북구",0.0810323954027688,0.000620732464307883,0.538557786214869,0.923299058105956,0.628526878452448
"성산2동","마포구",0.0870328937734133,0.000887049083382614,0.548501206204671,0.89039158717507,0.628449913213609
"구의3동","광진구",0.0802428439236353,0.000625651720542232,0.537249421229887,0.922691209139956,0.627382324305892
"석관동","성북구",0.09310829373707,0.00125219133483596,0.558568745551103,0.845272705495487,0.625612488714736
"행당2동","성동구",0.0796938232818205,0.000700770847932726,0.536339639660519,0.913409097833704,0.6245147311853
"시흥2동","금천구",0.0925337498615545,0.00127496812579686,0.557616669456096,0.842458286368927,0.624224916549447
"아현동","마포구",0.0693728516907378,0.000257334019557386,0.51923676771658,0.968202465931213,0.624224298988286
"남가좌2동","서대문구",0.0847589176874959,0.000939319932368965,0.544733002653503,0.883932728356844,0.62405251849012
"성수2가1동","성동구",0.0771414710075749,0.000638773554774832,0.532110139199539,0.921069806840432,0.623065674181988
"이문1동","동대문구",0.0824711852204224,0.000890471950133571,0.540942003416555,0.889968639900887,0.622559474546921
"상도4동","동작구",0.089079858301166,0.0011959678797198,0.551893229124508,0.852219968949406,0.622122565384452
"홍은2동","서대문구",0.0655329368368311,0.000170415814587594,0.512873648562301,0.978942532823568,0.621860641902172
"구의1동","광진구",0.0860143932630145,0.00110405741098537,0.546813450003575,0.863576905999112,0.620886398948923
"노량진2동","동작구",0.0958932185611883,0.00163487738419619,0.563183641757342,0.797986020613671,0.618090558234211
"용강동","마포구",0.06457213233688,0.00030826140567201,0.511281500363771,0.961909612394789,0.616657775638032
"홍제2동","서대문구",0.0953391715277335,0.00168463611859838,0.562265530959296,0.791837571780148,0.615949368968823
"독산2동","금천구",0.084493696897063,0.00121832358674464,0.544293505540696,0.849457581150945,0.615654019402973
"능동","광진구",0.0821980860733157,0.00112994350282486,0.540489451086598,0.860378285433554,0.615293248198544
"시흥3동","금천구",0.0816499054938866,0.00113464447806354,0.539581061583789,0.859797408406236,0.614461445228736
"시흥1동","금천구",0.0799163013426078,0.00112107623318386,0.536708307837774,0.861473971534412,0.61265251784962
"군자동","광진구",0.0943659650754386,0.00176730486008837,0.560652831497649,0.781622590766472,0.612325085310336
"자양3동","광진구",0.0759263634705924,0.00101791530944625,0.530096585686701,0.874221073502337,0.610567723169084
"돈암2동","성북구",0.0679097051871122,0.000759493670886076,0.516812189074357,0.906152999449642,0.607856851655875
"옥수동","성동구",0.0545754647964398,0.000217770034843206,0.49471603234543,0.973091198303287,0.606580764763358
"신대방2동","동작구",0.0611828864213856,0.000544662309368192,0.505665184267203,0.932698683338069,0.605524022071635
"고덕1동","강동구",0.115175704399049,0.0029655990510083,0.595136630207643,0.633555108566713,0.604120526336398
"북아현동","서대문구",0.065415106808432,0.000806776926179911,0.512678392537316,0.900310433730291,0.603323471233745
"목4동","양천구",0.0587034669302084,0.000541418516513265,0.501556540649818,0.933099503307361,0.602469885404798
"길음1동","성북구",0.0715776105731272,0.00117118875658794,0.522890271507381,0.85528180668596,0.600617738957085
"자양2동","광진구",0.0745687586617759,0.00130861504907306,0.527846900083873,0.838300696979755,0.600444378776876
"길음2동","성북구",0.0716921526405125,0.00119796346211441,0.523080079055382,0.851973384376993,0.599989509586086
"노량진1동","동작구",0.0618110002040013,0.000785175879396985,0.506706031002948,0.902979571771903,0.599371864760567
"상도2동","동작구",0.0671458319018297,0.0010564124234101,0.515546375399328,0.869464169246456,0.598307609936616
"신월4동","양천구",0.0608304946908389,0.000781046602447279,0.505081236274666,0.903489806775862,0.598246332006353
"망원2동","마포구",0.0618882420417832,0.000885216878135143,0.506834028376901,0.890617984014779,0.596579258812854
"시흥4동","금천구",0.0935302610579962,0.00227790432801822,0.559267987186509,0.718530256511836,0.596510370174089
"홍제1동","서대문구",0.0588805333788453,0.000763067531476536,0.501849957288928,0.905711394588856,0.596290168304096
"독산4동","금천구",0.0670736809358817,0.00117647058823529,0.51542681410412,0.854629156010231,0.594746941721707
"신수동","마포구",0.0638736540772927,0.00110223201984018,0.510124052721955,0.863802460852792,0.592829308560926
"사당5동","동작구",0.0650088849478564,0.00115919629057187,0.512005242688879,0.856763658356293,0.592624619826156
"월곡2동","성북구",0.112108593601402,0.00325814536340852,0.590054123900257,0.597406559877956,0.591773440331782
"홍은1동","서대문구",0.0692505679872338,0.00139358948835357,0.519034131510928,0.827800811917355,0.591237089651693
"성산1동","마포구",0.0722528410117437,0.00155327741534638,0.524009195207771,0.808068938503721,0.590434606549684
"대방동","동작구",0.0669773526104988,0.00132318888521336,0.515267188530203,0.836499877748853,0.590385236833115
"신월2동","양천구",0.0417003609638628,0.000217912399215515,0.473380710358522,0.973073607018674,0.590230447037687
"도화동","마포구",0.0528089192655243,0.000741289844329133,0.49178869147139,0.908402359235505,0.589210923607474
"삼선동","성북구",0.0946706600318262,0.00258823529411765,0.561157741212309,0.680184143222506,0.588991244201284
"독산3동","금천구",0.0766019731192221,0.00181851245681033,0.531216137775633,0.775295112945437,0.588292322304446
"연남동","마포구",0.0793185383369951,0.0019669551534225,0.535717755344959,0.756952758868402,0.587452034696763
"사당4동","동작구",0.0635043003791242,0.00131665569453588,0.509511997069437,0.837307152875175,0.5861646329116
"상도1동","동작구",0.0577846527363263,0.00113521695257316,0.500033974546466,0.859726670469003,0.584145630095079
"둔촌2동","강동구",0.102978059655209,0.00315457413249211,0.574923925015062,0.610204361541627,0.583174011709528
"목3동","양천구",0.0539223050795849,0.00100452034153692,0.493633682016518,0.875876225624003,0.58301846388282
"명일2동","강동구",0.105809171987623,0.00328623069339468,0.579615358496191,0.59393618997271,0.582964186142616
"흑석동","동작구",0.034942456415046,0.000184162062615101,0.462182193330568,0.977243974697734,0.58262583767396
"왕십리도선동","성동구",0.0513931429813739,0.000942507068803016,0.489442609973597,0.883538909150514,0.581599310804938
"상암동","마포구",0.0375323705282051,0.000433745391455216,0.466473937478128,0.94640415641236,0.578702308306819
"신정3동","양천구",0.0323239565035041,0.000224693854623076,0.457843079684425,0.97223565500701,0.578130234810908
"사당3동","동작구",0.0495112108223036,0.000992654357752631,0.48632406203073,0.877342448489871,0.577761014206452
"종암동","성북구",0.0716889272753277,0.00199760287654814,0.523074734305884,0.753165766297834,0.576879934820435
"사당2동","동작구",0.0419637657303399,0.000803858520900322,0.473817198139806,0.900671047113099,0.573634026008263
"암사3동","강동구",0.0820270471185461,0.00258648561267378,0.540206022601689,0.680400342990483,0.572989497273506
"장위3동","성북구",0.0879208025142719,0.002870028700287,0.549972558912,0.645364279729754,0.572279254751441
"망원1동","마포구",0.0411988003938906,0.000832408435072142,0.472549574827855,0.897143270761955,0.571837881500094
"충현동","서대문구",0.0461585874593193,0.0010911074740862,0.48076843313016,0.865177067767262,0.570659740440642
"연희동","서대문구",0.0266820929453235,0.000307031010132023,0.448493953092109,0.962061646487165,0.568588215270408
"목1동","양천구",0.0309285924565579,0.000525624178712221,0.455530823284968,0.935051134091299,0.567663339925762
"마장동","성동구",0.0720311970283678,0.00234137204401779,0.52364190917938,0.710687854387019,0.567381313102271
"염리동","마포구",0.0479826032992637,0.00134348410210479,0.483791007997166,0.83399209486166,0.565683116246814
"사당1동","동작구",0.0390026908570239,0.0009678199854827,0.468910403859072,0.880411113098181,0.565137005916579
"행당1동","성동구",0.0452304521263326,0.00128150363092695,0.479230420976301,0.841650725256766,0.563979908922609
"일원1동","강남구",0.0348071608746728,0.000824402308326463,0.461957995222747,0.898132549553747,0.56395440573885
"신정1동","양천구",0.038106053257758,0.00097497562560936,0.467424586569001,0.879526924870356,0.563791875432288
"보문동","성북구",0.081710989115468,0.00289330922242315,0.539682283193456,0.642487616951018,0.563722601274973
"신정6동","양천구",0.0420678522145818,0.00117889773062187,0.47398967975119,0.854329245633593,0.562929463404454
"화양동","광진구",0.0430237079115323,0.00122100122100122,0.475573627293101,0.849126718691936,0.562926440705873
"서교동","마포구",0.0529076250892095,0.00173310225303293,0.491952256795421,0.785848843342627,0.560677946070733
"합정동","마포구",0.0466782060294822,0.00146466495789088,0.481629492555308,0.819018356072788,0.560525550762261
"응봉동","성동구",0.0461819843699184,0.0014903129657228,0.480807204127864,0.815849154409383,0.559154452865113
"독산1동","금천구",0.0476900511776959,0.00158753066820609,0.483306220162227,0.803836427867752,0.558259998009466
"광장동","광진구",0.0478246872933912,0.00160587290662996,0.483529325538058,0.801569965189463,0.557900935070492
"금호4가동","성동구",0.0415398335588645,0.00146842878120411,0.473114700552474,0.818553278426866,0.553893128929654
"금호1가동","성동구",0.0383664408749997,0.00136892539356605,0.467856074635233,0.830848436151534,0.55273933421972
"강일동","강동구",0.111948547954518,0.00460334509743747,0.589788912415109,0.431186662307944,0.552700870368456
"남가좌1동","서대문구",0.0343905175074161,0.00122900450634986,0.461267575905768,0.848137790997987,0.551734506824104
"용답동","성동구",0.0633798770880731,0.0025273799494524,0.50930581535535,0.68770374711549,0.551022940993135
