"행정동명","자치구.x","평균자외선지수","평균노인체감온도","폭염시간합계","온열질환환자수","등록인구수","노인인구수","노인인구비율","독거노인수","독거노인비율","기초생활수급자수","기초생활수급자비율","저소득노인수","저소득노인비율","장애인구수","장애인구비율","인구밀도","단독연립다세대주택","무더위쉼터개수","노인대비쉼터수.x","인구당보건인력","인구당소방인력","도시화면적비율","하천변조경비율","녹지비율","재정자립도","RGDP","면적.km.","하천변조경.km.","녹지면적.km.","위도.x","경도.x","위도.y","경도.y","자치구.y","폭염취약성지수","노인대비쉼터수.y","scaled_취약성지수","scaled_역비례_쉼터개수","우선순위지수"
"구의3동","광진구",6.529850746,28.60696517,152,4,27992,4795,0.171298942555016,790,0.0282223492426408,534,0.0190768791083167,48,0.00171477565018577,794,0.0283652472134896,27443.137254902,53438,3,0.000625651720542232,0.000580885316641772,0.00065794153211466,0.6916,0.00113006535947712,0.00956156862745098,23.2,6554954,1.02,0.00115266666666667,0.0097528,37.5350919006686,127.095236007912,37.5350919006686,127.095236007912,"광진구",0.0802428439236353,0.000625651720542232,0.537249421229887,0.922691209139956,0.627382324305892
"군자동","광진구",6.626865672,28.14179104,115,4,21293,3395,0.159442070163904,927,0.043535434180247,954,0.0448034565350115,59,0.00277086366411497,798,0.0374771051519279,28774.3243243243,53438,6,0.00176730486008837,0.000580885316641772,0.00065794153211466,0.6916,0.00155765765765766,0.0131794594594595,23.2,6554954,0.74,0.00115266666666667,0.0097528,37.5530656204262,127.073680681776,37.5530656204262,127.073680681776,"광진구",0.0943659650754386,0.00176730486008837,0.560652831497649,0.781622590766472,0.612325085310336
"금호1가동","성동구",6.589552239,28.28606965,21,5,14714,2922,0.198586380318064,759,0.0515835258937067,720,0.0489329889900775,17,0.0011553622400435,647,0.0439717276063613,31986.9565217391,54769,4,0.00136892539356605,0.000516014234875445,0.000811387900355872,0.7398,0,0.017607472826087,30.2,13999893,0.46,0,0.0080994375,37.5536687363076,127.025055778628,37.5536687363076,127.025055778628,"성동구",0.0383664408749997,0.00136892539356605,0.467856074635233,0.830848436151534,0.55273933421972
"금호4가동","성동구",6.626865672,28.48258706,64,5,14238,2724,0.191319005478298,694,0.0487428009551903,460,0.0323079084141031,9,0.000632111251580278,530,0.0372243292597275,16950,54769,4,0.00146842878120411,0.000516014234875445,0.000811387900355872,0.7398,0,0.0096421875,30.2,13999893,0.84,0,0.0080994375,37.5445948317957,127.024600128685,37.5445948317957,127.024600128685,"성동구",0.0415398335588645,0.00146842878120411,0.473114700552474,0.818553278426866,0.553893128929654
"길동","강동구",6.708955224,28.10696517,62,7,47771,9715,0.203366058906031,2119,0.0443574553599464,1682,0.0352096460195516,40,0.000837328086077327,1986,0.0415733394737393,29671.4285714286,56170,3,0.000308800823468863,0.000495579991609918,0.000652078936328839,0.5549,0.00291983695652174,0.0104928571428571,21.9,9364063,1.61,0.0047009375,0.0168935,37.5397251077209,127.145906564229,37.5397251077209,127.145906564229,"강동구",0.131618503291177,0.000308800823468863,0.622383976193458,0.961842959117456,0.701764117542602
"길음1동","성북구",6.626865672,28.48258706,64,3,35628,5123,0.143791400022454,935,0.0262434040642192,642,0.018019535197036,43,0.00120691590883575,984,0.0276187268440552,45098.7341772152,70609,6,0.00117118875658794,0.00039730760205113,0.000576212194787603,0.7417,0.00146780063291139,0.0178478639240506,18.7,6371894,0.79,0.0011595625,0.0140998125,37.6081121190008,127.019735303488,37.6081121190008,127.019735303488,"성북구",0.0715776105731272,0.00117118875658794,0.522890271507381,0.85528180668596,0.600617738957085
"길음2동","성북구",6.626865672,28.2960199,41,3,21517,3339,0.155179625412465,706,0.0328112655109913,573,0.0266301064274759,37,0.00171957057210578,751,0.0349026351257146,37098.275862069,70609,4,0.00119796346211441,0.00039730760205113,0.000576212194787603,0.7417,0.00199924568965517,0.0243100215517241,18.7,6371894,0.58,0.0011595625,0.0140998125,37.6079710462082,127.027231081551,37.6079710462082,127.027231081551,"성북구",0.0716921526405125,0.00119796346211441,0.523080079055382,0.851973384376993,0.599989509586086
"낙성대동","관악구",6.71641791,28.55970149,97,12,18133,2148,0.118458059890807,581,0.0320410301659957,454,0.025037224948988,3,0.000165444217724591,444,0.0244857442232394,7988.10572687225,79068,1,0.000465549348230912,0.000441703372559332,0.000562914995726777,0.5316,0.000545154185022026,0.00109399279134962,17.7,6347562,2.27,0.0012375,0.00248336363636364,37.4672301261643,126.960046226204,37.4672301261643,126.960046226204,"관악구",0.195170030589343,0.000465549348230912,0.727695150013697,0.942474293579467,0.777919771051097
"난곡동","관악구",6.694029851,28.21641791,98,12,25361,5989,0.236149994085407,1673,0.0659674303063759,2225,0.0877331335515161,35,0.00138007176373171,1570,0.0619060762588226,26417.7083333333,79068,3,0.0005009183503089,0.000441703372559332,0.000562914995726777,0.5316,0.0012890625,0.00258683712121212,17.7,6347562,0.96,0.0012375,0.00248336363636364,37.4704952842949,126.921048515086,37.4704952842949,126.921048515086,"관악구",0.254632690916873,0.0005009183503089,0.826230666370156,0.938103915148787,0.852391453823007
"난향동","관악구",6.626865672,28.48258706,64,12,14788,3053,0.2064511766297,645,0.043616445766838,661,0.0446984041114417,21,0.0014200703272924,702,0.0474709223694888,18485,79068,2,0.000655093350802489,0.000441703372559332,0.000562914995726777,0.5316,0.001546875,0.00310420454545455,17.7,6347562,0.8,0.0012375,0.00248336363636364,37.4615887324456,126.918266328135,37.4615887324456,126.918266328135,"관악구",0.21343338715463,0.000655093350802489,0.757959340341715,0.919053247696492,0.795630039246658
"남가좌1동","서대문구",6.671641791,28.2960199,41,4,16878,2441,0.144626140537978,444,0.0263064344116602,319,0.0189003436426117,5,0.000296243630761939,550,0.0325867993838132,33094.1176470588,60331,3,0.00122900450634986,0.000688783920975919,0.000793244041692646,0.892,0.00197591036414566,0.0271749299719888,20.3,9039083,0.51,0.00100771428571429,0.0138592142857143,37.5716944449203,126.916201380363,37.5716944449203,126.916201380363,"서대문구",0.0343905175074161,0.00122900450634986,0.461267575905768,0.848137790997987,0.551734506824104
"남가좌2동","서대문구",6.619402985,28.65671642,152,4,30344,5323,0.175421829686264,1368,0.0450830477194833,1391,0.0458410229369892,27,0.000889796994463485,1184,0.0390192459794358,39407.7922077922,60331,5,0.000939319932368965,0.000688783920975919,0.000793244041692646,0.892,0.00130871985157699,0.0179989795918367,20.3,9039083,0.77,0.00100771428571429,0.0138592142857143,37.5776243157886,126.921330323266,37.5776243157886,126.921330323266,"서대문구",0.0847589176874959,0.000939319932368965,0.544733002653503,0.883932728356844,0.62405251849012
"남영동","용산구",6.597014925,28.12437811,97,4,7283,1612,0.221337360977619,969,0.133049567485926,1360,0.186736235067966,4,0.000549224220788137,485,0.0665934367705616,6120.16806722689,48949,4,0.00248138957816377,0.000900983306654471,0.00115252686942602,0.6114,0.00180672268907563,0.00807316176470588,39.4,13294640,1.19,0.00215,0.0096070625,37.5451066591794,126.973505919441,37.5451066591794,126.973505919441,"용산구",0.0353842526495758,0.00248138957816377,0.462914293439341,0.693386557341677,0.516808642406152
